RecordNo,caseid,age,gender,region_grouped_IT,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5a,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,S3,S4,S5_1,S5_2,S5_3,S5_6,S5_8,S5_22,S5_9,S5_10,S5_11,S5_23,S5_12,S5_13,S5_14,S5_17,S5_18,S5_19,S5_20,S5_29,S5_30,S5_31,S5_33,S5_26,S5_99,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,segment,age_yks,S3_yks,S4_yks,Q3_yks,Q4_yks,weight
1169,7410888386,45,Female,South,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,10.000€ to 14.999€ per year,Taranto,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"0-24,999€",Rest of Italy,Unaware, ,0.992682927
1170,7410939134,63,Male,Centre,Basketball is one of my top sports,Yes,Yes,Yes,No,No,No,Somewhat likely,Very unlikely,I support a different football club and therefore would be less interested,No change, ,No,No,No,No,No,Yes, ,Because it is affiliated with AC Milan,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5.000€ to 9.999€ per year,Ascoli Piceno,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.011180124
1171,7410843498,26,Male,Unknown,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Latina,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,18-34, ,Rest of Italy,Unaware, ,1.011180124
1172,7410843750,45,Female,Centre,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,Roma,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54, ,Rest of Italy,Unaware, ,0.992682927
1173,7410504464,45,Male,South,Basketball is one of my top sports,No,No,No,No,No,Yes,Very likely,Somewhat unlikely,I prefer a team that represents Milan as a city rather than one football club,Decrease my interest, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5.000€ to 9.999€ per year,Foggia,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Non Watcher,1.011180124
1174,7410975024,50,Female,Centre,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5.000€ to 9.999€ per year,Terni,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"0-24,999€",Rest of Italy,Unaware, ,0.992682927
1175,7410975042,53,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,15.000€ to 19.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"0-24,999€",Milan,Unaware, ,0.992682927
1176,7409679460,45,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,30.000€ to 34.999€ per year,Como,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"25-49,999€",Rest of Italy,Unaware, ,0.992682927
1177,7409995794,64,Male,North east,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Udine,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Rest of Italy,Unaware, ,1.011180124
1178,7410975498,36,Female,South,"I follow basketball regularly, but it's secondary",No,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,under 5.000€ per year,Bari,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel positively towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,0.992682927
1179,7410979158,24,Female,Centre,I generally do not follow basketball, , , , , , ,Somewhat unlikely,Somewhat unlikely, ,No change, ,No,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,25.000€ to 29.999€ per year,Massa-Carrara,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,18-34,"25-49,999€",Rest of Italy,Unaware, ,0.992682927
1180,7410651268,62,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,30.000€ to 34.999€ per year,Cuneo,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,0.992682927
1181,7410649276,31,Male,Unknown,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,Yes,No,No,Watch games via free TV or streaming,"Because it represents Milan, regardless of club",No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,15.000€ to 19.999€ per year,Unknown,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Other Serie A Fan,18-34,"0-24,999€",Rest of Italy,Unaware, ,1.004081633
1182,7410543476,40,Female,North east,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,70.000€ to 99.999€ per year,Bologna,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"50,000€ +",Rest of Italy,Unaware, ,0.992682927
1183,7409301718,58,Female,Islands,I generally do not follow basketball, , , , , , ,Very likely,Neither likely nor unlikely,I prefer a team that represents Milan as a city rather than one football club,No change, ,Yes,No,Yes,No,No,No,Follow highlights and social media,Because it is Italy's team in the league,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Prefer not to answer,Cagliari,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Rest of Italy,Unaware, ,0.992682927
1184,7410939178,24,Male,Centre,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,under 5.000€ per year,Firenze,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,18-34,"0-24,999€",Rest of Italy,Unaware, ,1.011180124
1185,7410650908,46,Female,Centre,I watch basketball occasionally,No,Yes,No,No,No,No,Somewhat likely,Somewhat unlikely,I prefer a team that represents Milan as a city rather than one football club,Moderately increase my interest,Because it gives me a reason to care about basketball,No,No,No,Yes,No,No,Attend a game in person,"Because it represents Milan, regardless of club",No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,5.000€ to 9.999€ per year,Prato,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,0.992682927
1186,7409590632,55,Female,North east,I watch basketball occasionally,No,No,Yes,No,No,No,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Prefer not to answer,Ravenna,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Rest of Italy,Overall Interested,Watcher,0.992682927
1187,7410843798,46,Male,North east,"I follow basketball regularly, but it's secondary",Yes,No,No,No,No,No,Very likely,Somewhat unlikely,I prefer a team that represents Milan as a city rather than one football club,Slightly increase my interest, ,No,No,No,Yes,No,No,Attend a game in person,Because it is Italy's team in the league,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,15.000€ to 19.999€ per year,Piacenza,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Inter Milan Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
1188,7410990208,36,Male,Centre,"I follow basketball regularly, but it's secondary",Yes,No,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,No,No,No,No,Yes,No,Buy merchandise,"Because it represents Milan, regardless of club",No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,5.000€ to 9.999€ per year,Roma,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Other Serie A Fan,35-54,"0-24,999€",Rest of Italy,Overall Interested,Watcher,1.004081633
1189,7409437258,46,Male,North east,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Don't know,Trieste,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54, ,Rest of Italy,Unaware, ,1.011180124
1190,7410977228,51,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54, ,Milan,Unaware, ,1.011180124
1191,7410885846,49,Male,Unknown,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,Yes,No,No,No,No,Watch games via paid TV or streaming service,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,15.000€ to 19.999€ per year,Unknown,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,No,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54,"0-24,999€",Rest of Italy,Unaware, ,1.004081633
1192,7405800578,68,Female,North east,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Padova,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+, ,Rest of Italy,Unaware, ,0.992682927
1193,7410843490,60,Male,Unknown,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,5.000€ to 9.999€ per year,Lucca,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"0-24,999€",Rest of Italy,Unaware, ,1.011180124
1194,7410843850,67,Male,North east,"I follow basketball regularly, but it's secondary",Yes,No,No,No,No,No,Somewhat likely,Very likely, ,Moderately increase my interest, ,No,No,No,No,Yes,No,Buy merchandise,Because it is affiliated with AC Milan,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,35.000€ to 39.999€ per year,Modena,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel positively towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.011180124
1195,7410844000,76,Male,Islands,I watch basketball occasionally,No,No,Yes,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,35.000€ to 39.999€ per year,Palermo,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.011180124
1196,7401159990,30,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,20.000€ to 24.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,18-34,"0-24,999€",Milan,Unaware, ,0.992682927
1197,7410886880,54,Female,North west,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,15.000€ to 19.999€ per year,Genova,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54,"0-24,999€",Rest of Italy,Unaware, ,0.992682927
1198,7410886916,44,Male,North west,"I follow basketball regularly, but it's secondary",Yes,No,No,No,No,No,Neither likely nor unlikely,Neither likely nor unlikely, ,Significantly increase my interest, ,Yes,No,No,Yes,No,No,Watch games via free TV or streaming,Because it is affiliated with AC Milan,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,25.000€ to 29.999€ per year,Torino,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Inter Milan Fan,35-54,"25-49,999€",Rest of Italy,Overall Interested,Watcher,1.023529412
1199,7410800908,66,Female,North west,"I follow basketball regularly, but it's secondary",No,Yes,No,Yes,No,No,Somewhat likely,Somewhat likely, ,Moderately increase my interest, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,20.000€ to 24.999€ per year,Torino,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,0.992682927
1200,7410989574,30,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,40.000€ to 44.999€ per year,Varese,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel positively towards AC Milan, , , , , , , , , , , , ,Non- Fan,18-34,"25-49,999€",Rest of Italy,Unaware, ,0.992682927
1201,7405542294,37,Female,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Prefer not to answer,Cremona,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,35-54, ,Rest of Italy,Unaware, ,0.992682927
1202,7410365418,62,Female,North east,I watch basketball occasionally,Yes,No,No,No,No,No,Very likely,Very unlikely,Other/not sure,Slightly increase my interest,Other/not sure,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,20.000€ to 24.999€ per year,Verona,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"0-24,999€",Rest of Italy,Overall Interested,Watcher,0.992682927
1203,7410543492,56,Male,North east,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,70.000€ to 99.999€ per year,Bologna,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"50,000€ +",Rest of Italy,Unaware, ,1.011180124
1204,7410890404,26,Male,North west,I generally do not follow basketball, , , , , , ,Very unlikely,Very unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,10.000€ to 14.999€ per year,Alessandria,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel negatively towards AC Milan, , , , , , , , , , , , ,Non- Fan,18-34,"0-24,999€",Rest of Italy,Unaware, ,1.011180124
1205,7410889694,70,Male,Centre,I generally do not follow basketball, , , , , , ,Neither likely nor unlikely,Neither likely nor unlikely, ,No change, ,No,No,No,No,No,Yes, ,I would not support a Milan NBA team,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,30.000€ to 34.999€ per year,Arezzo,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,I feel neutral towards AC Milan, , , , , , , , , , , , ,Non- Fan,55+,"25-49,999€",Rest of Italy,Unaware, ,1.011180124
1206,7410844118,84,Male,South,I generally do not follow basketball, , , , , , ,Very unlikely,Somewhat likely, ,No change, ,No,No,No,No,No,Yes, ,Because it is Italy's team in the league,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,15.000€ to 19.999€ per year,Foggia,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,I feel positively towards AC Milan,No,No,Yes,No,No,No,No,No,No,No,No,No,Other Serie A Fan,55+,"0-24,999€",Rest of Italy,Unaware, ,1.004081633
1207,7410843710,50,Female,Centre,I watch basketball occasionally,Yes,No,No,No,No,No,Somewhat likely,Somewhat likely, ,No change, ,Yes,No,No,No,No,No,Watch games via free TV or streaming,Because it is Italy's team in the league,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Prefer not to answer,Macerata,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I feel neutral towards AC Milan,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Other Serie A Fan,35-54, ,Rest of Italy,Overall Interested,Watcher,0.993939394
1208,7408915924,46,Male,North west,Basketball is one of my top sports,Yes,Yes,Yes,No,No,No,Somewhat likely,Somewhat likely, ,Significantly increase my interest, ,Yes,Yes,No,No,No,No,Watch games via paid TV or streaming service,Because it is affiliated with AC Milan,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,60.000€ to 69.999€ per year,Milano,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,AC Milan is my club; I strongly identify as a supporter,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,AC Milan Fan,35-54,"50,000€ +",Milan,Overall Interested,Watcher,1.056101695
